index,lang,lang_prob
0,de,0.9999947694877911
1,fr,0.9999976217577058
2,fr,0.9999952880600183
3,de,0.8571368216514994
4,fr,0.9999990394635035
5,fr,0.9999974239969619
6,de,0.9999963020567184
7,fr,0.9999963079036605
8,en,0.9999962920370964
9,fr,0.9999970703447486
10,en,0.9999951656877644
11,fr,0.9999955946587955
12,en,0.9999952778040655
13,fr,0.9999971276146491
14,fr,0.9999969634461995
15,fr,0.9999968961606984
16,fr,0.9999959429023899
17,en,0.8571397765798066
18,en,0.9999947555628023
19,fr,0.7142825077194783
20,fr,0.9999959013544262
21,de,0.9999966839459711
22,fr,0.9999964349709722
23,en,0.5714274154636981
24,fr,0.999996127263947
25,fr,0.9999957734926272
26,fr,0.9999968040569409
27,fr,0.9999951307269103
28,fr,0.9999954079250821
29,fr,0.9999934347730772
30,fr,0.9999969426776796
31,en,0.9999951487517984
32,fr,0.9999940220289858
33,en,0.999998247917242
34,en,0.9999976403127082
35,en,0.9999968874797527
36,fr,0.9999982179207771
37,fr,0.9999965010895024
38,fr,0.9999953307866495
39,fr,0.9999950258011493
40,fr,0.9999957448093534
41,fr,0.5714293679029452
42,fr,0.999995858368781
43,fr,0.9999962097791719
44,fr,0.9999937013328406
45,fr,0.9999984954110563
46,fr,0.9999960176274456
47,en,0.7142839066377525
48,it,0.42856944721739704
49,fr,0.9999971196982496
50,ro,0.85713983988974
51,en,0.9999945093931857
52,fr,0.9999972811636071
53,fr,0.9999958178915793
54,en,0.999993174186554
55,fr,0.9999952180342997
56,fr,0.9999963572652839
57,fr,0.8571378119586128
58,fr,0.5714284949664095
59,fr,0.9999982018124808
60,fr,0.9999962893745574
61,fr,0.9999972267984318
62,fr,0.9999961374284612
63,fr,0.9999956572937172
64,fr,0.9999953711002445
65,fr,0.9999941237529582
66,fr,0.9999939354042318
67,fr,0.9999973183034537
68,fr,0.9999980017117918
69,fr,0.857142569553637
70,fr,0.999997163760086
71,fr,0.9999952599750612
72,fr,0.9999966511581454
73,fr,0.9999936496433853
74,fr,0.5714267874253877
75,fr,0.9999968469490923
76,fr,0.9999974721425979
77,fr,0.9999955040166386
78,fr,0.9999954125058078
79,fr,0.9999940138027347
80,fr,0.9999984321091383
81,en,0.9999945035788821
82,fr,0.9999954922270304
83,fr,0.9999975047162317
84,fr,0.9999964782777296
85,fr,0.9999960563327945
86,fr,0.9999980345537773
87,fr,0.9999966505178303
88,en,0.9999972304639662
89,fr,0.9999940249656035
90,fr,0.8571373409458893
91,fr,0.9999955915889726
92,en,0.9999969250650242
93,fr,0.9999981301502432
94,fr,0.7142819351695212
95,fr,0.9999970098369283
96,en,0.8571387314792983
97,fr,0.9999961463991662
98,en,0.9999975271440846
99,fr,0.9999983016603864
100,fr,0.9999958334488203
101,fr,0.9999968645402985
102,es,0.9999953401508362
103,fr,0.9999967720049054
104,fr,0.8571404883487282
105,fr,0.9999962089618227
106,ca,0.571426329887702
107,fr,0.9999963866319836
108,fr,0.9999954304409533
109,en,0.7149693195916202
110,de,0.7142829751981741
111,fr,0.9999957315110488
112,en,0.9999958461748663
113,fr,0.9999972794102615
114,en,0.9999962997003686
115,en,0.7142839663512204
116,fr,0.9999964703705263
117,en,0.5714270461869666
118,fr,0.9999950090181697
119,fr,0.9999944593949018
120,fr,0.9999980411945812
121,fr,0.9999988728679524
122,nl,0.5714282584898424
123,fr,0.9999996658366688
124,fr,0.857140363934667
125,fr,0.9999970300574198
126,fr,0.9999969340957313
127,en,0.9999975548782606
128,en,0.999996430595878
129,fr,0.9999977446816384
130,en,0.9999968054182969
131,de,0.9999953119231617
132,fr,0.999996748379685
133,fr,0.9999967755490351
134,ro,0.8571406032880758
135,fr,0.9999984515438392
136,en,0.8571405872505392
137,de,0.5714269447682625
138,fr,0.999996568648873
139,fr,0.9999959336973234
140,fr,0.9999977889413698
141,fr,0.99999506030923
142,fr,0.9999979614691197
143,de,0.7142841510760041
144,fr,0.9999961631693578
145,fr,0.9999947063812826
